CPU Intel Core i5-10400F,2250000,2.9GHz up to 4.3GHz
CPU Intel Core i5-12400F,3200000,2.5GHz up to 4.4GHz / 6 Cores 12 Threads / 18MB Cache
CPU Intel Core i5-13400,5250000,2.5GHz up to 4.6GHz / 10 Cores 16 Threads
CPU Intel Core i7-12700,7200000,2.1GHz up to 4.9GHz
CPU Intel Core i7-13700K,9800000,3.4GHz up to 5.4GHz / 16 Cores 24 Threads
CPU Intel Core i9-12900K,11500000,3.2GHz up to 5.2GHz / 16 Cores 24 Threads
CPU Intel Pentium Gold G6405,1650000,4.1GHz / 2 Cores 4 Threads
Dây mạng Cat6 Ugreen 5m,850000,Đúc sẵn 2 đầu
Đèn LED gắn màn hình Baseus,550000,Chống mỏi mắt
Fan Case Coolmoon V2,120000,RGB / Remote điều khiển
Fan Case Corsair LL120 RGB,750000,1 Fan đơn
Fan Case ID-Cooling DF-12025,150000,RGB / 120mm
Fan Case ID-Cooling NO-12015,180000,Fan mỏng 15mm
Ghế Gaming E-Dra Ares EGC202,2650000,Da PU / Ngả 180 độ
Ghế Gaming Warrior Raider Series,3200000,Da PU / Khung kim loại
Giá đỡ Laptop nhôm,250000,Tùy chỉnh độ cao
HDD Box Orico 2.5 inch,140000,USB 3.0 / Trong suốt
HDD Seagate Barracuda 2TB,1350000,"3.5"" / 7200RPM / 256MB Cache"
HDD WD Blue 1TB,950000,"3.5"" / 7200RPM"
HDD WD Purple 2TB,1550000,Chuyên dụng Camera
Hub chuyển đổi Type-C 5 in 1,350000,HDMI / USB 3.0 / SD Card
Hub USB Orico 4 Port,180000,USB 3.0
Hub USB-C 7 in 1 Baseus,850000,HDMI / PD / USB 3.0
Keo tản nhiệt Arctic MX-4,150000,4g / Dẫn nhiệt tốt
Keycap PBT Double Shot,450000,108 phím / Xuyên LED
Laptop Acer Aspire 3 A315,14000000,"i3 Gen10 / RAM 4GB / SSD 256GB / 15.6"" Full HD"
Laptop Acer Swift 3,12500000,"i5-1135G7 / 8GB / 512GB / 14"" FHD"
Laptop ASUS TUF Dash F15,19500000,i5-12450H / RTX 3050 / 8GB / 512GB
Laptop Asus Vivobook 15,13500000,"i5-1235U / 8GB / 512GB / 15.6"" FHD"
Laptop Asus Zenbook Q409,15800000,Ryzen 5 6600U / 8GB / 256GB / OLED
Laptop Asus Zenbook UX425,16500000,"i5-1135G7 / 8GB / 512GB / 14"" FHD"
Laptop Dell 7390,6500000,"i7-8650U / DDR4 8GB / M2 256GB / 13.3"""
Laptop Dell Latitude 5420,10500000,"i5-1145G7 / 16GB / 256GB / 14"" FHD"
Laptop Dell Latitude 5490,5200000,"i5-8350U / RAM 8GB / SSD 256GB / 14"" HD"
Laptop Dell Latitude 7490,5900000,"i5 8350U / RAM 8GB / SSD 256GB / 14"" Full HD"
Laptop Dell Precision 5530,12500000,"i7-8850H / RAM 16GB / SSD 512GB / Quadro P1000 / 15.6"" UltraSharp"
Laptop Dell Precision 7510,7500000,i7-6820HQ / 16GB / 256GB / Quadro M1000M
Laptop Dell Vostro 3510,11500000,"i5-1135G7 / 8GB / 512GB / 15.6"" FHD"
Laptop Gaming Acer Nitro 5,18500000,i5-12500H / RTX 3050Ti / 8GB / 512GB
Laptop HP 15s-fq2556TU,10200000,"i3-1115G4 / 8GB / 256GB / 15.6"" FHD"
Laptop HP 240 G8,5500000,"i3 1005G1 / RAM 4GB / SSD NVMe 512GB / LCD 14"" Full HD"
Laptop HP Elitebook 830 G6,7800000,"i5-8265U / RAM 16GB / SSD 256GB / 13.3"" FHD"
Laptop HP Elitebook 840 G3,4800000,i5-6300U / 8GB / 256GB
Laptop HP EliteBook 840 G5,6200000,"i5 8250U / RAM 8GB / SSD 256GB / 14"" FHD IPS"
Laptop HP Envy 13,17800000,i7-1165G7 / 16GB / 512GB
Laptop HP Pavilion 15,11800000,"i5-1135G7 / RAM 8GB / SSD 512GB / 15.6"" FHD"
Laptop HP Victus 15,17500000,i5-12450H / GTX 1650 / 8GB / 512GB
Laptop Lenovo Thinkbook,5000000,"i3-1005G1 / RAM 8GB / M2 NVMe 512GB / 14"" Full HD"
Laptop Lenovo Thinkbook 14 G2,9500000,"Ryzen 5 4500U / RAM 8GB / SSD 256GB / 14"" FHD"
Laptop Lenovo ThinkPad T14 Gen 1,9800000,"i5-10310U / RAM 16GB / SSD 256GB / 14"" FHD"
Laptop Lenovo V15 G2,8900000,Ryzen 3 5300U / 8GB / 256GB
Laptop MSI Modern 14,11200000,"Ryzen 5 5500U / 8GB / 512GB / 14"" FHD"
Laptop ThinkPad X1 Carbon Gen 6,8500000,"i7-8550U / 16GB / 256GB / 14"" FHD"
Loa Bluetooth JBL Go 3,850000,Chống nước
Loa Bluetooth Sony SRS-XB13,1150000,Chống nước IP67
Loa Creative SBS A120,450000,2.1 Hệ thống loa
Loa Edifier R1700BT,2650000,Bluetooth / Bookshelf Speaker
Loa Logitech Z120,250000,Loa cổng USB
Loa Microlab B77BT,1850000,Bluetooth / Công suất 64W
Loa Microlab M108,450000,2.1 Hệ thống loa văn phòng
Loa Microlab X2,1150000,2.1 Hệ thống loa
Loa Ruizu RS-820,120000,Cổng USB / Jack 3.5mm
Loa SoundMax A2128,1250000,2.1 Hệ thống loa / Bluetooth / Remote
Loa SoundMax A927,850000,2.1 Hệ thống loa / USB / SD Card
Loa SoundMax AW300,1450000,2.1 / Công suất 70W
Lót chuột Logitech G240,250000,Vải mềm / Kích thước 340x280mm
Lót chuột Razer Goliathus Control,180000,Size M / May viền
Lót chuột Razer Goliathus Speed M,120000,May viền / 25x30cm
Mainboard ASRock B760M Pro RS,3250000,Socket 1700 / DDR5
Mainboard ASUS PRIME B650M-A,3950000,Socket AM5 / DDR5
Mainboard ASUS PRIME H510M-F,1550000,Socket 1200
Mainboard ASUS Prime H510M-K,1650000,Socket 1200 / Intel H510 / DDR4
Mainboard ASUS PRIME H610M-K D4,1850000,Socket 1700
Mainboard ASUS ROG STRIX Z790-E,12500000,Gaming WiFi / DDR5
Mainboard ASUS TUF Gaming B550M-Plus,3450000,Socket AM4 / AMD B550
Mainboard Gigabyte B760M DS3H,3150000,DDR4 / Socket 1700
Mainboard Gigabyte H610M S2,1950000,Socket 1700 / DDR4
Mainboard Gigabyte Z690 Gaming X,5850000,Socket 1700
Mainboard MSI A520M-A PRO,1550000,Socket AM4
Mainboard MSI MAG B660M Mortar,3850000,Socket 1700 / Intel B660 / DDR4
Mainboard MSI PRO B760M-P,2850000,Socket 1700 / DDR4
Mainboard MSI PRO H610M-E,1850000,Socket 1700 / DDR4
Màn hình Acer EK241Y,2450000,23.8 inch / IPS / 75Hz
Màn hình AOC 24G2,3950000,24 inch / IPS / 144Hz / 1ms
Màn hình ASUS ProArt PA278QV,8900000,27 inch / IPS / 2K / 100% sRGB
Màn hình Asus VP228HE,2150000,21.5 inch / Gaming / 1ms
Màn hình BenQ GW2480,2950000,24 inch / IPS / Full HD
Màn hình Dell E2423H,2850000,24 inch / VA / FHD
Màn hình Dell P2422H,4200000,23.8 inch / IPS / Full HD / Chân đế xoay
Màn hình Dell UltraSharp U2422H,5850000,23.8 inch / IPS / Full HD / 100% sRGB
Màn hình Gaming Samsung 37 ViewFinity S8,13990000,"LS37D800UAEXXV / 37"" / VA / QHD / 60Hz / 5ms"
Màn hình Gigabyte G24F-2,3450000,23.8 inch / IPS / 165Hz / 1ms / FHD
Màn hình HP M24fw,3450000,24 inch / IPS / 75Hz / Trắng
Màn hình LG 24MP400-B,2650000,24 inch / IPS / 75Hz / FHD
Màn hình LG 27MP400,3250000,27 inch / IPS / 75Hz
Màn hình Philips 221V8,1950000,21.5 inch / VA / 75Hz
Màn hình Samsung 27 Inch Odyssey G5,13989000,"LS27FG502SEXXV / 27"" / IPS / QHD / 180Hz / 1ms"
Màn hình Samsung Odyssey G3,3850000,24 inch / 144Hz / 1ms
Màn hình ViewSonic VA2201-H,1850000,21.5 inch / VA / FHD
Màn hình ViewSonic VA2432-H,2250000,24 inch / IPS / 75Hz / 4ms / FHD
Microphone HyperX QuadCast,3200000,RGB / 4 búp hướng
Microphone Maono AU-A04,950000,Bộ Mic thu âm chuyên nghiệp
name,price,description
Nguồn Acbel Taly 400,450000,400W Fan 120mm
Nguồn Antec Atom V550,650000,550W / Công suất thực
Nguồn Antec Zen 700W,1550000,80 Plus Gold
Nguồn Cooler Master Elite V3 600W,1050000,600W Công suất thực
Nguồn Cooler Master MWE 750W,1850000,80 Plus Gold / Full Modular
Nguồn Corsair CV650,1450000,650W / 80 Plus Bronze
Nguồn Corsair RM850e,2850000,850W / 80 Plus Gold
Nguồn Gigabyte P750GM,1950000,750W / 80 Plus Gold
Nguồn Mik S-Power 400,450000,400W / Fan 120mm
Nguồn Mik S-Power 500,550000,500W / Fan 120mm
Nguồn MSI MAG A650BN,1350000,650W / 80 Plus Bronze
Nguồn Segotep Q7 650W,1150000,80 Plus Gold
Nguồn SilverStone ST50F-ES230,850000,500W / 80 Plus
Nguồn Xigmatek X-Power III 500,580000,450W / 80 Plus
PC Dell Inspiron 3910,13500000,i5-12400 / 8GB / 512GB
PC Dell OptiPlex 3050 SFF,3800000,i5-6500 / 8GB / 240GB
PC Dell OptiPlex 3060 Micro,4500000,i5-8500T / RAM 8GB / SSD 128GB
PC Dell OptiPlex 7000 Micro,11100000,i5 12600 / DDR4 8GB / NVMe 256GB
PC Dell Vostro 3020MT,12800000,i5-13400 / 8GB / 512GB
PC Dell Vostro 3910MT,10500000,i3-12100 / RAM 8GB / SSD 256GB
PC Gaming AMD,11500000,Ryzen 5 5600G / 16GB / 500GB
PC Gaming Sentinel,15800000,i5-12400F / RTX 3060 / 16GB / 500GB
PC Lenovo ThinkCentre M70q,9200000,i5-10400T / 8GB / 256GB
PC Máy Bộ Dell OptiPlex,7900000,i7 8700 / DDR4 8GB / NVMe 256GB
PC Mini Intel NUC 11,7500000,i5-1135G7 / Barebone
PC MSI PRO DP21,12500000,i5-12400 / 8GB / 250GB
PC Văn Phòng Core i7,6200000,i7-4790 / 8GB / 240GB
PC Văn Phòng PV1,5200000,i3-10100 / 8GB / 240GB
PC Workstation Dell T3630MT,7500000,i5 9400F / DDR4 16GB / NVMe 512GB / NVIDIA Quadro K2200
PC Workstation HP Z240,5900000,Xeon E3-1225 v5 / RAM 16GB / SSD 256GB + HDD 1TB
Pin Laptop Dell 7480,750000,4 Cell / 60Wh
Pin Laptop HP Pavilion 15-AU,650000,3 Cell / 41Wh
RAM Corsair Vengeance LPX 16GB,1100000,2x8GB / DDR4 / 3200MHz
RAM Desktop ADATA XPG Spectrix D50 16GB,1350000,2x8GB / DDR4 / 3200MHz / RGB
RAM Desktop Kingston Fury Beast 8GB,650000,DDR4 / 3200MHz / Tản nhiệt nhôm
RAM Desktop Lexar 8GB,550000,DDR4 / 3200MHz
RAM Desktop TeamGroup T-Force Delta RGB,1450000,16GB (2x8GB) / 3200MHz
RAM G.Skill Trident Z5 RGB 32GB,3800000,2x16GB / DDR5 / 6000MHz
RAM Kingmax 8GB,600000,DDR4 / 2666MHz
RAM Laptop Corsair Vengeance 32GB,2150000,DDR4 / 3200MHz
RAM Laptop Crucial 16GB,1150000,DDR5 / 4800MHz
RAM Laptop Kingston 16GB,1150000,DDR4 / 3200MHz
RAM Laptop Kingston 8GB,550000,DDR4 / 3200MHz
RAM Laptop Samsung 16GB,950000,DDR4 / 3200MHz
RAM Laptop Samsung 8GB,550000,DDR4 / 3200MHz
RAM TeamGroup Elite Plus 8GB,550000,DDR4 / 3200MHz
Router Asus RT-AX53U,1450000,Wi-Fi 6 / MU-MIMO
Router Wi-Fi 6 TP-Link Archer AX10,1250000,Chuẩn AX1500
Sạc dự phòng Anker 10000mAh,550000,PowerCore Slim
Sạc Laptop ASUS 19V-3.42A,280000,Đầu thường 5.5mm
Sạc Laptop HP 65W,250000,Đầu kim nhỏ
SSD Colorful 120GB,320000,SATA III 2.5 inch
SSD Crucial P3 1TB,1450000,NVMe PCIe Gen 3.0
SSD Gigabyte 240GB,480000,SATA III / 2.5 inch
SSD Gigabyte 480GB,850000,SATA III 2.5 inch
SSD Hikvision E100 256GB,550000,SATA III / 2.5 inch
SSD Kingston A400 480GB,850000,SATA III 2.5 inch
SSD Kingston KC3000 512GB,1550000,Gen 4x4 NVMe
SSD Kingston NV2 1TB,1550000,M.2 NVMe PCIe Gen 4.0 x4
SSD Lexar NM620 256GB,650000,M.2 NVMe Gen 3.0
SSD MSI Spatium M371 500GB,950000,NVMe Gen 3
SSD Pioneer 240GB,450000,SATA III 2.5 inch
SSD Samsung 870 Evo 500GB,1450000,SATA III 2.5 inch
SSD Samsung 980 Pro 500GB,1850000,M.2 NVMe PCIe Gen 4.0 x4 / Đọc 6900MB/s
SSD Samsung 990 Pro 1TB,2950000,M.2 NVMe PCIe Gen 5.0
SSD WD Black SN850X 1TB,2450000,M.2 NVMe PCIe Gen 4.0
SSD Western Digital Blue 500GB,1150000,M.2 SATA III
Switch bàn phím cơ Gateron Yellow,5000,Linear / 5 pin
Switch mạng TP-Link 8 Port,195000,10/100Mbps
Tai nghe Bluetooth Havit i62,350000,Over-ear / Bluetooth 5.0
Tai nghe chụp tai JBL Quantum 100,850000,Có dây / Micro tháo rời
Tai nghe DareU EH416,420000,LED RGB / Giả lập 7.1
Tai nghe Gaming Kingston HyperX Cloud II,1950000,Giả lập 7.1 / Micro rời
Tai nghe Gaming Kingston HyperX Cloud Stinger,950000,Jack 3.5mm / Chống ồn
Tai nghe Havit H2002D,550000,3.5mm / Micro rời
Tai nghe Logitech G Pro X,2850000,Blue VO!CE / Giả lập 7.1
Tai nghe nhét tai Samsung AKG,150000,Jack 3.5mm / Type-C
Tai nghe Ovann X2,180000,Tai nghe net phổ thông
Tai nghe Rapoo VH510,480000,RGB / Giả lập 7.1
Tai nghe Razer BlackShark V2 X,1250000,Driver 50mm / Surround 7.1
Tai nghe Razer Kraken V3 X,1650000,RGB / Siêu nhẹ
Tai nghe Samsung Galaxy Buds 2,1850000,Truly Wireless / ANC
Tai nghe Sennheiser HD 560S,4200000,Over-ear / Studio Grade
Tai nghe Sony MDR-ZX110AP,450000,Có dây / Có Mic
Tai nghe Sony WH-1000XM4,5500000,Chống ồn chủ động / Bluetooth
Tai nghe Zidli ZH11S,280000,LED / Giả lập 7.1
Tai nghe Zidli ZH7,320000,LED / Giả lập 7.1
Tản nhiệt khí Cooler Master T400i,350000,LED Red
Tản nhiệt khí Deepcool AK400,650000,4 ống đồng / Fan 120mm PWM
Tản nhiệt khí ID-Cooling SE-224-XT,480000,4 ống đồng
Tản nhiệt khí Jonsbo CR-1000,320000,RGB / 4 ống đồng
Tản nhiệt nước AIO ASUS ROG Ryujin II,6800000,360mm / LCD Display
Tản nhiệt nước AIO Deepcool LT520,2250000,240mm / RGB
Tay cầm chơi game DualSense PS5,1550000,Màu trắng / Bluetooth
Tay cầm chơi game MSI Force GC30 V2,850000,Không dây / Rung mạnh
Thẻ nhớ MicroSD Samsung Evo Plus 64GB,180000,Class 10 / UHS-I
Túi chống sốc Laptop 14 inch,150000,Vải nỉ dày
USB Kingston DataTraveler 128GB,290000,USB 3.2
USB Kingston DT70 32GB,150000,Type-C
USB Kingston Exodia 64GB,140000,USB 3.2 Gen 1
USB Sandisk Ultra Flair 32GB,1250000,USB 3.0 / Vỏ kim loại
VGA ASUS Dual RTX 3060 12GB,8500000,GDDR6 / 192-bit
VGA ASUS Dual RX 6600,5450000,8GB GDDR6
VGA ASUS Phoenix RTX 3050,5600000,8GB GDDR6 / 1 Fan
VGA ASUS TUF GTX 1660 Ti,5200000,6GB GDDR6
VGA Galax GTX 1660 Super,4650000,6GB GDDR6
VGA Gigabyte GTX 1650,3450000,4GB GDDR6
VGA Gigabyte RTX 4060 Ti,11900000,8GB GDDR6 / 3 Fan
VGA MSI GTX 1650 Ventus XS,3600000,4GB GDDR5 / 128-bit
VGA MSI RTX 3060 Ti,9500000,8GB GDDR6
VGA MSI RTX 4070 Ventus 2X,16500000,12GB GDDR6X
VGA Palit GTX 1660 Super,4800000,6GB GDDR6
VGA Sapphire Pulse RX 6600,5900000,8GB GDDR6
VGA Zotac RTX 3050,5800000,8GB GDDR6
Webcam Dahua HTI-UC320,550000,Full HD / Góc rộng
Webcam Dahua Z2+,450000,1080P / Micro kép
Webcam Havit HV-HN02G,350000,720P / Cổng USB
Webcam Logitech C270,650000,HD 720P
Webcam Logitech C922,2150000,Full HD / Tripod kèm theo
Webcam Rapoo C260,550000,Full HD 1080P / Góc rộng 80 độ
